sample_id,depth_m,lithology,porosity,permeability_mD
S-047,2003.8,Limestone,0.2323,141.75
S-048,2013.7,Sandstone,0.1934,38.64
S-049,2022.9,Sandstone,0.2207,55.28
S-050,2034.8,Sandstone,0.1841,23.69
S-051,2045.0,Limestone,0.1973,22.85
S-052,2057.9,Shale,0.2179,73.89
S-053,2075.4,Sandstone,0.0926,1.88
S-054,2066.2,Shale,0.1608,6.51
S-055,2088.7,Sandstone,0.1518,5.03
S-056,2101.7,Shale,0.1417,9.33
S-057,2113.2,Dolomite,0.1635,37.44
S-058,2120.8,Shale,0.2697,227.33
S-059,2124.8,Limestone,0.1281,5.57
S-060,2146.2,Shale,0.2381,111.26
S-061,2164.1,Sandstone,0.079,3.85
S-062,2158.7,Sandstone,0.1599,15.14
S-063,2181.6,Sandstone,0.1898,21.88
S-064,2186.6,Limestone,0.2152,102.63
S-065,2198.9,Shale,0.2227,82.44
S-066,2204.8,Limestone,0.2276,181.17
S-067,2219.3,Shale,0.1591,14.51
S-068,2238.4,Sandstone,0.1523,5.26
S-069,2245.8,Shale,0.2315,34.95
S-070,2262.4,Sandstone,0.1685,44.33
S-071,2270.6,Sandstone,0.1035,9.1
S-072,2277.8,Shale,0.112,3.6
S-073,2295.3,Dolomite,0.1248,4.39
S-074,2299.7,Limestone,0.2098,111.12
S-075,2312.5,Sandstone,0.1885,13.98
S-076,2317.8,Limestone,0.2214,36.12
S-077,2330.6,Sandstone,0.1544,17.0
S-078,2337.7,Shale,0.1895,21.96
S-079,2357.0,Shale,0.2175,55.88
S-080,2357.1,Sandstone,0.1614,12.5
S-081,2377.9,Sandstone,0.2074,53.29
S-082,2383.9,Sandstone,0.1403,18.91
S-083,2401.7,Dolomite,0.1582,13.43
S-084,2410.5,Limestone,0.1571,18.21
S-085,2426.8,Shale,0.1082,1.07
S-086,2432.2,Limestone,0.2092,44.22
S-087,2431.6,Limestone,0.1518,6.54
S-088,2450.1,Sandstone,0.1807,10.76
S-089,2455.5,Dolomite,0.2088,26.63
S-090,2469.7,Sandstone,0.2068,35.07
S-091,2490.7,Limestone,0.2199,103.09
S-092,2497.3,Limestone,0.1741,8.54
S-093,2501.5,Limestone,0.1546,11.84
S-094,2510.9,Dolomite,0.1752,14.55
S-095,2527.1,Sandstone,0.0788,1.43
S-096,2531.7,Limestone,0.0932,4.57
S-097,2545.4,Limestone,0.1006,4.17
S-098,2561.2,Limestone,0.1202,10.96
S-099,2576.4,Sandstone,0.204,36.41
S-100,2584.6,Sandstone,0.1257,3.71
S-101,2581.0,Sandstone,0.1573,10.87
S-102,2604.9,Sandstone,0.258,178.1
S-103,2614.6,Limestone,0.1586,14.29
S-104,2627.3,Limestone,0.2243,34.59
S-105,2644.2,Limestone,0.124,5.71
S-106,2636.7,Limestone,0.1677,18.48
S-107,2655.0,Limestone,0.123,23.89
S-108,2671.9,Sandstone,0.1597,40.67
S-109,2671.9,Limestone,0.2304,46.36
S-110,2698.1,Sandstone,0.0764,1.38
S-111,2703.5,Sandstone,0.2061,17.49
S-112,2716.8,Limestone,0.1943,21.98
S-113,2720.7,Limestone,0.1444,10.87
S-114,2738.5,Sandstone,0.0932,5.17
S-115,2750.7,Limestone,0.1843,15.78
S-116,2757.5,Limestone,0.1482,6.69
S-117,2768.4,Shale,0.194,8.57
S-118,2779.5,Limestone,0.1813,20.56
S-119,2784.8,Limestone,0.2761,128.15
S-120,2799.3,Sandstone,0.1656,11.15
